三歲 삼 년    不得 벗어나지 못함    中 치우치지 않음
乾 건    亨 형통함    以往 이로써 나아가다
伐 치다    係 묶이다    元 으뜸
克 이기다    再三 두세 번    冰 얼음
凝 엉기다    凶 흉함    刑 형벌
刑人 형벌을 씀    初 처음    初筮 처음 점치다
利 이로움    利貞 곧게 지키면 이롭다    剛柔 강함과 부드러움
勿用 쓰지 말다    匪 아니다    厲 위태로움
叢棘 가시덤불    吉 길함    吝 부끄러움
告 알려주다    咎 허물    困 곤궁하다
坎 감    坎(뜻) 구덩이    堅 굳다
堅冰 단단한 얼음    天德 하늘의 덕    失道 도를 잃다
始 비로소    孚 미더움    寘 두다
小亨 작게 형통함    小人 소인    小得 조금 얻다
尙 숭상함    履 밟다    幽 어둡다
幽谷 깊은 골짜기    往 나아가다    得 벗어나다
德 덕    徽 새끼줄    徽纆 굵은 밧줄과 검은 밧줄
心 마음    悔 뉘우침    憊 지치다
我 나    旅 나그네    旅貞 旅에서 곧게 지킴
无咎 허물이 없음    无首 머리가 없음    明 밝다
有孚 미더움이 있음    有尙 숭상함이 있음    株木 그루터기
桎梏 질곡    樽 동이    樽酒 한 동이의 술
正 바름    正法 법을 바르게 하다    求 구하다
法 법    瀆 모독하다    牖 창
用九 용구    用缶 질그릇을 사용함    發 발하다
發蒙 어리석음을 계발함    童蒙 동몽    筮 점치다
簋 그릇    簋貳 두 그릇의 음식    約 약속
納 들이다    納約 약속을 들여놓음    終 마침내
維 오직    纆 검은 밧줄    缶 질그릇
群 무리    群龍 뭇 용    習 거듭됨
臀 볼기    自牖 창으로부터    至 이르다
致 이르게 하다    蒙 몽매함    行 행하다
見 나타나다    覿 만나다    說 벗기다
貞 곧고 바름    貳 둘    道 도
陰 음    際 사귐    險 험함
霜 서리    首 머리    馴 따르다
高宗 고종    鬼方 귀방
